icd_code,ccs,icd_version
00B80ZZ,1,10
00B83ZZ,1,10
00B84ZZ,1,10
00B90ZZ,1,10
00B93ZZ,1,10
00B94ZZ,1,10
00BA0ZZ,1,10
00BA3ZZ,1,10
00BA4ZZ,1,10
00BB0ZZ,1,10
00BB3ZZ,1,10
00BB4ZZ,1,10
00BC0ZZ,1,10
00BC3ZZ,1,10
00BC4ZZ,1,10
00BD0ZZ,1,10
00BD3ZZ,1,10
00BD4ZZ,1,10
00BF0ZZ,1,10
00BF3ZZ,1,10
00BF4ZZ,1,10
00BG0ZZ,1,10
00BG3ZZ,1,10
00BG4ZZ,1,10
00BH0ZZ,1,10
00BH3ZZ,1,10
00BH4ZZ,1,10
00BJ0ZZ,1,10
00BJ3ZZ,1,10
00BJ4ZZ,1,10
00BK0ZZ,1,10
00BK3ZZ,1,10
00BK4ZZ,1,10
00BL0ZZ,1,10
00BL3ZZ,1,10
00BL4ZZ,1,10
00BM0ZZ,1,10
00BM3ZZ,1,10
00BM4ZZ,1,10
00BN0ZZ,1,10
00BN3ZZ,1,10
00BN4ZZ,1,10
00BP0ZZ,1,10
00BP3ZZ,1,10
00BP4ZZ,1,10
00BQ0ZZ,1,10
00BQ3ZZ,1,10
00BQ4ZZ,1,10
00BR0ZZ,1,10
00BR3ZZ,1,10
00BR4ZZ,1,10
00BS0ZZ,1,10
00BS3ZZ,1,10
00BS4ZZ,1,10
00BT0ZZ,1,10
00BT3ZZ,1,10
00BT4ZZ,1,10
00D10ZZ,1,10
00D13ZZ,1,10
00D14ZZ,1,10
00D20ZZ,1,10
00D23ZZ,1,10
00D24ZZ,1,10
00DF0ZZ,1,10
00DF3ZZ,1,10
00DF4ZZ,1,10
00DG0ZZ,1,10
00DG3ZZ,1,10
00DG4ZZ,1,10
00DH0ZZ,1,10
00DH3ZZ,1,10
00DH4ZZ,1,10
00DJ0ZZ,1,10
00DJ3ZZ,1,10
00DJ4ZZ,1,10
00DK0ZZ,1,10
00DK3ZZ,1,10
00DK4ZZ,1,10
00DL0ZZ,1,10
00DL3ZZ,1,10
00DL4ZZ,1,10
00DM0ZZ,1,10
00DM3ZZ,1,10
00DM4ZZ,1,10
00DN0ZZ,1,10
00DN3ZZ,1,10
00DN4ZZ,1,10
00DP0ZZ,1,10
00DP3ZZ,1,10
00DP4ZZ,1,10
00DQ0ZZ,1,10
00DQ3ZZ,1,10
00DQ4ZZ,1,10
00DR0ZZ,1,10
00DR3ZZ,1,10
00DR4ZZ,1,10
00DS0ZZ,1,10
00DS3ZZ,1,10
00DS4ZZ,1,10
00DT0ZZ,1,10
00DT3ZZ,1,10
00DT4ZZ,1,10
00T70ZZ,1,10
00T73ZZ,1,10
00T74ZZ,1,10
0W9100Z,1,10
0W910ZZ,1,10
0W9130Z,1,10
0W913ZZ,1,10
0W9140Z,1,10
0W914ZZ,1,10
0WC10ZZ,1,10
0WC13ZZ,1,10
0WC14ZZ,1,10
0WH103Z,1,10
0WH10YZ,1,10
0WH133Z,1,10
0WH13YZ,1,10
0WH143Z,1,10
0WH14YZ,1,10
3E0Q028,1,10
3E0Q029,1,10
3E0Q03Z,1,10
3E0Q06Z,1,10
3E0Q07Z,1,10
3E0Q0AZ,1,10
3E0Q0BZ,1,10
3E0Q0E0,1,10
3E0Q0E1,1,10
3E0Q0GC,1,10
3E0Q0NZ,1,10
3E0Q0SF,1,10
3E0Q0TZ,1,10
0G5G0ZZ,10,10
0G5G3ZZ,10,10
0G5G4ZZ,10,10
0G5H0ZZ,10,10
0G5H3ZZ,10,10
0G5H4ZZ,10,10
0G5K0ZZ,10,10
0G5K3ZZ,10,10
0G5K4ZZ,10,10
0GBG0ZZ,10,10
0GBG3ZZ,10,10
0GBG4ZZ,10,10
0GBH0ZZ,10,10
0GBH3ZZ,10,10
0GBH4ZZ,10,10
0GBJ0ZZ,10,10
0GBJ3ZZ,10,10
0GBJ4ZZ,10,10
0GTG0ZZ,10,10
0GTG4ZZ,10,10
0GTH0ZZ,10,10
0GTH4ZZ,10,10
0GTK0ZZ,10,10
0GTK4ZZ,10,10
0T908ZX,100,10
0T914ZX,100,10
0T918ZX,100,10
0T964ZX,100,10
0T968ZX,100,10
0T974ZX,100,10
0T978ZX,100,10
0T984ZX,100,10
0T988ZX,100,10
0T9B4ZX,100,10
0T9B8ZX,100,10
0T9C4ZX,100,10
0T9C8ZX,100,10
0T9D4ZX,100,10
0T9D8ZX,100,10
0TB04ZX,100,10
0TB08ZX,100,10
0TB14ZX,100,10
0TB18ZX,100,10
0TB34ZX,100,10
0TB38ZX,100,10
0TB44ZX,100,10
0TB48ZX,100,10
0TB64ZX,100,10
0TB68ZX,100,10
0TB74ZX,100,10
0TB78ZX,100,10
0TBB4ZX,100,10
0TBB4ZZ,100,10
0TBB8ZX,100,10
0TBC4ZX,100,10
0TBC4ZZ,100,10
0TBC8ZX,100,10
0TBD4ZX,100,10
0TBD7ZX,100,10
0TBD8ZX,100,10
0TJ54ZZ,100,10
0TJ57ZZ,100,10
0TJ58ZZ,100,10
0TJ94ZZ,100,10
0TJ97ZZ,100,10
0TJ98ZZ,100,10
0TJB4ZZ,100,10
0TJB7ZZ,100,10
0TJB8ZZ,100,10
0TJD4ZZ,100,10
0TJD7ZZ,100,10
0TJD8ZZ,100,10
0TJDXZZ,100,10
0T507ZZ,101,10
0T508ZZ,101,10
0T517ZZ,101,10
0T518ZZ,101,10
0T537ZZ,101,10
0T538ZZ,101,10
0T547ZZ,101,10
0T548ZZ,101,10
0T567ZZ,101,10
0T568ZZ,101,10
0T577ZZ,101,10
0T578ZZ,101,10
0T5B7ZZ,101,10
0T5B8ZZ,101,10
0T5C7ZZ,101,10
0T5C8ZZ,101,10
0TBB7ZZ,101,10
0TBB8ZZ,101,10
0TBC7ZZ,101,10
0TBC8ZZ,101,10
0TC37ZZ,101,10
0TC38ZZ,101,10
0TC47ZZ,101,10
0TC48ZZ,101,10
0TC67ZZ,101,10
0TC68ZZ,101,10
0TC77ZZ,101,10
0TC78ZZ,101,10
0TCB7ZZ,101,10
0TCB8ZZ,101,10
0TCC7ZZ,101,10
0TCC8ZZ,101,10
0TN07ZZ,101,10
0TN08ZZ,101,10
0TN17ZZ,101,10
0TN18ZZ,101,10
0TN37ZZ,101,10
0TN38ZZ,101,10
0TN47ZZ,101,10
0TN48ZZ,101,10
0TN67ZZ,101,10
0TN68ZZ,101,10
0TN77ZZ,101,10
0TN78ZZ,101,10
0TNB7ZZ,101,10
0TNB8ZZ,101,10
0TNC7ZZ,101,10
0TNC8ZZ,101,10
0T760DZ,102,10
0T763DZ,102,10
0T764DZ,102,10
0T767DZ,102,10
0T770DZ,102,10
0T773DZ,102,10
0T774DZ,102,10
0T777DZ,102,10
0T780DZ,102,10
0T783DZ,102,10
0T784DZ,102,10
0T787DZ,102,10
0T787ZZ,102,10
0T788ZZ,102,10
0T9600Z,102,10
0T9630Z,102,10
0T9640Z,102,10
0T9670Z,102,10
0T9680Z,102,10
0T9700Z,102,10
0T9730Z,102,10
0T9740Z,102,10
0T9770Z,102,10
0T9780Z,102,10
0T9800Z,102,10
0T9830Z,102,10
0T9840Z,102,10
0T9870Z,102,10
0T9880Z,102,10
0TC00ZZ,103,10
0TC03ZZ,103,10
0TC04ZZ,103,10
0TC07ZZ,103,10
0TC08ZZ,103,10
0TC10ZZ,103,10
0TC13ZZ,103,10
0TC14ZZ,103,10
0TC17ZZ,103,10
0TC18ZZ,103,10
0TC30ZZ,103,10
0TC33ZZ,103,10
0TC34ZZ,103,10
0TC40ZZ,103,10
0TC43ZZ,103,10
0TC44ZZ,103,10
0TB00ZZ,104,10
0TB03ZZ,104,10
0TB04ZZ,104,10
0TB07ZZ,104,10
0TB08ZZ,104,10
0TB10ZZ,104,10
0TB13ZZ,104,10
0TB14ZZ,104,10
0TB17ZZ,104,10
0TB18ZZ,104,10
0TB30ZZ,104,10
0TB33ZZ,104,10
0TB34ZZ,104,10
0TB37ZZ,104,10
0TB38ZZ,104,10
0TB40ZZ,104,10
0TB43ZZ,104,10
0TB44ZZ,104,10
0TB47ZZ,104,10
0TB48ZZ,104,10
0TT00ZZ,104,10
0TT04ZZ,104,10
0TT10ZZ,104,10
0TT14ZZ,104,10
0TT20ZZ,104,10
0TT24ZZ,104,10
0TT30ZZ,104,10
0TT34ZZ,104,10
0TT37ZZ,104,10
0TT38ZZ,104,10
0TT40ZZ,104,10
0TT44ZZ,104,10
0TT47ZZ,104,10
0TT48ZZ,104,10
0TY00Z0,105,10
0TY00Z1,105,10
0TY00Z2,105,10
0TY10Z0,105,10
0TY10Z1,105,10
0TY10Z2,105,10
0TUC07Z,106,10
0TUC0JZ,106,10
0TUC0KZ,106,10
0TUC47Z,106,10
0TUC4JZ,106,10
0TUC4KZ,106,10
0TUC77Z,106,10
0TUC7JZ,106,10
0TUC7KZ,106,10
0TUC87Z,106,10
0TUC8JZ,106,10
0TUC8KZ,106,10
0TF30ZZ,107,10
0TF33ZZ,107,10
0TF34ZZ,107,10
0TF37ZZ,107,10
0TF38ZZ,107,10
0TF3XZZ,107,10
0TF40ZZ,107,10
0TF43ZZ,107,10
0TF44ZZ,107,10
0TF47ZZ,107,10
0TF48ZZ,107,10
0TF4XZZ,107,10
0TF60ZZ,107,10
0TF63ZZ,107,10
0TF64ZZ,107,10
0TF67ZZ,107,10
0TF68ZZ,107,10
0TF6XZZ,107,10
0TF70ZZ,107,10
0TF73ZZ,107,10
0TF74ZZ,107,10
0TF77ZZ,107,10
0TF78ZZ,107,10
0TF7XZZ,107,10
0TFB0ZZ,107,10
0TFB3ZZ,107,10
0TFB4ZZ,107,10
0TFB7ZZ,107,10
0TFB8ZZ,107,10
0TFBXZZ,107,10
0TFC0ZZ,107,10
0TFC3ZZ,107,10
0TFC4ZZ,107,10
0TFC7ZZ,107,10
0TFC8ZZ,107,10
0TFCXZZ,107,10
0TFD0ZZ,107,10
0TFD3ZZ,107,10
0TFD4ZZ,107,10
0TFD7ZZ,107,10
0TFD8ZZ,107,10
0TFDXZZ,107,10
0WFRXZZ,107,10
0T9B70Z,108,10
0T9B80Z,108,10
0T9C70Z,108,10
0T9C80Z,108,10
0T5D0ZZ,109,10
0T5D3ZZ,109,10
0T5D4ZZ,109,10
0T5D7ZZ,109,10
0T5D8ZZ,109,10
0T5DXZZ,109,10
0T7D0DZ,109,10
0T7D0ZZ,109,10
0T7D3DZ,109,10
0T7D3ZZ,109,10
0T7D4DZ,109,10
0T7D4ZZ,109,10
0T7D7DZ,109,10
0T7D7ZZ,109,10
0T7D8DZ,109,10
0T7D8ZZ,109,10
0T9D00Z,109,10
0T9D0ZZ,109,10
0T9D30Z,109,10
0T9D3ZZ,109,10
0T9D40Z,109,10
0T9D4ZZ,109,10
0T9D70Z,109,10
0T9D7ZZ,109,10
0T9D80Z,109,10
0T9D8ZZ,109,10
0T9DX0Z,109,10
0T9DXZZ,109,10
0TBD0ZZ,109,10
0TBD3ZZ,109,10
0TBD4ZZ,109,10
0TBD7ZZ,109,10
0TBD8ZZ,109,10
0TBDXZZ,109,10
0TCD0ZZ,109,10
0TCD3ZZ,109,10
0TCD4ZZ,109,10
0TCD7ZZ,109,10
0TCD8ZZ,109,10
0TCDXZZ,109,10
0THD03Z,109,10
0THD0LZ,109,10
0THD33Z,109,10
0THD3LZ,109,10
0THD43Z,109,10
0THD4LZ,109,10
0THD73Z,109,10
0THD7LZ,109,10
0THD83Z,109,10
0THD8LZ,109,10
0THDX3Z,109,10
0THDXLZ,109,10
0TLD0CZ,109,10
0TLD0DZ,109,10
0TLD0ZZ,109,10
0TLD3CZ,109,10
0TLD3DZ,109,10
0TLD3ZZ,109,10
0TLD4CZ,109,10
0TLD4DZ,109,10
0TLD4ZZ,109,10
0TLD7DZ,109,10
0TLD7ZZ,109,10
0TLD8DZ,109,10
0TLD8ZZ,109,10
0TLDXCZ,109,10
0TLDXDZ,109,10
0TLDXZZ,109,10
0TMD0ZZ,109,10
0TMD4ZZ,109,10
0TND0ZZ,109,10
0TND3ZZ,109,10
0TND4ZZ,109,10
0TND7ZZ,109,10
0TND8ZZ,109,10
0TNDXZZ,109,10
0TPD00Z,109,10
0TPD02Z,109,10
0TPD03Z,109,10
0TPD07Z,109,10
0TPD0CZ,109,10
0TPD0DZ,109,10
0TPD0JZ,109,10
0TPD0KZ,109,10
0TPD0LZ,109,10
0TPD30Z,109,10
0TPD32Z,109,10
0TPD33Z,109,10
0TPD37Z,109,10
0TPD3CZ,109,10
0TPD3DZ,109,10
0TPD3JZ,109,10
0TPD3KZ,109,10
0TPD3LZ,109,10
0TPD40Z,109,10
0TPD42Z,109,10
0TPD43Z,109,10
0TPD47Z,109,10
0TPD4CZ,109,10
0TPD4DZ,109,10
0TPD4JZ,109,10
0TPD4KZ,109,10
0TPD4LZ,109,10
0TPD70Z,109,10
0TPD72Z,109,10
0TPD73Z,109,10
0TPD77Z,109,10
0TPD7CZ,109,10
0TPD7DZ,109,10
0TPD7JZ,109,10
0TPD7KZ,109,10
0TPD7LZ,109,10
0TPD80Z,109,10
0TPD82Z,109,10
0TPD83Z,109,10
0TPD87Z,109,10
0TPD8CZ,109,10
0TPD8DZ,109,10
0TPD8JZ,109,10
0TPD8KZ,109,10
0TPD8LZ,109,10
0TPDX0Z,109,10
0TPDX2Z,109,10
0TPDX3Z,109,10
0TPDXDZ,109,10
0TPDXLZ,109,10
0TQD0ZZ,109,10
0TQD3ZZ,109,10
0TQD4ZZ,109,10
0TQD7ZZ,109,10
0TQD8ZZ,109,10
0TQDXZZ,109,10
0TRD07Z,109,10
0TRD0JZ,109,10
0TRD0KZ,109,10
0TRD47Z,109,10
0TRD4JZ,109,10
0TRD4KZ,109,10
0TRD77Z,109,10
0TRD7JZ,109,10
0TRD7KZ,109,10
0TRD87Z,109,10
0TRD8JZ,109,10
0TRD8KZ,109,10
0TRDX7Z,109,10
0TRDXJZ,109,10
0TRDXKZ,109,10
0TSD0ZZ,109,10
0TSD4ZZ,109,10
0TTD0ZZ,109,10
0TTD4ZZ,109,10
0TTD7ZZ,109,10
0TTD8ZZ,109,10
0TUD07Z,109,10
0TUD0JZ,109,10
0TUD0KZ,109,10
0TUD47Z,109,10
0TUD4JZ,109,10
0TUD4KZ,109,10
0TUD77Z,109,10
0TUD7JZ,109,10
0TUD7KZ,109,10
0TUD87Z,109,10
0TUD8JZ,109,10
0TUD8KZ,109,10
0TUDX7Z,109,10
0TUDXJZ,109,10
0TUDXKZ,109,10
0TVD0CZ,109,10
0TVD0DZ,109,10
0TVD0ZZ,109,10
0TVD3CZ,109,10
0TVD3DZ,109,10
0TVD3ZZ,109,10
0TVD4CZ,109,10
0TVD4DZ,109,10
0TVD4ZZ,109,10
0TVD7DZ,109,10
0TVD7ZZ,109,10
0TVD8DZ,109,10
0TVD8ZZ,109,10
0TVDXZZ,109,10
0TWD00Z,109,10
0TWD02Z,109,10
0TWD03Z,109,10
0TWD07Z,109,10
0TWD0CZ,109,10
0TWD0DZ,109,10
0TWD0JZ,109,10
0TWD0KZ,109,10
0TWD0LZ,109,10
0TWD30Z,109,10
0TWD32Z,109,10
0TWD33Z,109,10
0TWD37Z,109,10
0TWD3CZ,109,10
0TWD3DZ,109,10
0TWD3JZ,109,10
0TWD3KZ,109,10
0TWD3LZ,109,10
0TWD40Z,109,10
0TWD42Z,109,10
0TWD43Z,109,10
0TWD47Z,109,10
0TWD4CZ,109,10
0TWD4DZ,109,10
0TWD4JZ,109,10
0TWD4KZ,109,10
0TWD4LZ,109,10
0TWD70Z,109,10
0TWD72Z,109,10
0TWD73Z,109,10
0TWD77Z,109,10
0TWD7CZ,109,10
0TWD7DZ,109,10
0TWD7JZ,109,10
0TWD7KZ,109,10
0TWD7LZ,109,10
0TWD80Z,109,10
0TWD82Z,109,10
0TWD83Z,109,10
0TWD87Z,109,10
0TWD8CZ,109,10
0TWD8DZ,109,10
0TWD8JZ,109,10
0TWD8KZ,109,10
0TWD8LZ,109,10
0G900ZX,11,10
0G903ZX,11,10
0G904ZX,11,10
0G910ZX,11,10
0G913ZX,11,10
0G914ZX,11,10
0G920ZX,11,10
0G923ZX,11,10
0G924ZX,11,10
0G930ZX,11,10
0G933ZX,11,10
0G934ZX,11,10
0G940ZX,11,10
0G943ZX,11,10
0G944ZX,11,10
0G960ZX,11,10
0G963ZX,11,10
0G964ZX,11,10
0G970ZX,11,10
0G973ZX,11,10
0G974ZX,11,10
0G980ZX,11,10
0G983ZX,11,10
0G984ZX,11,10
0G990ZX,11,10
0G993ZX,11,10
0G994ZX,11,10
0G9B0ZX,11,10
0G9B3ZX,11,10
0G9B4ZX,11,10
0G9C0ZX,11,10
0G9C3ZX,11,10
0G9C4ZX,11,10
0G9D0ZX,11,10
0G9D3ZX,11,10
0G9D4ZX,11,10
0G9F0ZX,11,10
0G9F3ZX,11,10
0G9F4ZX,11,10
0G9G0ZX,11,10
0G9G3ZX,11,10
0G9G4ZX,11,10
0G9H0ZX,11,10
0G9H3ZX,11,10
0G9H4ZX,11,10
0G9K0ZX,11,10
0G9K3ZX,11,10
0G9K4ZX,11,10
0G9L0ZX,11,10
0G9L3ZX,11,10
0G9L4ZX,11,10
0G9M0ZX,11,10
0G9M3ZX,11,10
0G9M4ZX,11,10
0G9N0ZX,11,10
0G9N3ZX,11,10
0G9N4ZX,11,10
0G9P0ZX,11,10
0G9P3ZX,11,10
0G9P4ZX,11,10
0G9Q0ZX,11,10
0G9Q3ZX,11,10
0G9Q4ZX,11,10
0G9R0ZX,11,10
0G9R3ZX,11,10
0G9R4ZX,11,10
0GB00ZX,11,10
0GB03ZX,11,10
0GB04ZX,11,10
0GB10ZX,11,10
0GB13ZX,11,10
0GB14ZX,11,10
0GB20ZX,11,10
0GB23ZX,11,10
0GB24ZX,11,10
0GB30ZX,11,10
0GB33ZX,11,10
0GB34ZX,11,10
0GB40ZX,11,10
0GB43ZX,11,10
0GB44ZX,11,10
0GB60ZX,11,10
0GB63ZX,11,10
0GB64ZX,11,10
0GB70ZX,11,10
0GB73ZX,11,10
0GB74ZX,11,10
0GB80ZX,11,10
0GB83ZX,11,10
0GB84ZX,11,10
0GB90ZX,11,10
0GB93ZX,11,10
0GB94ZX,11,10
0GBB0ZX,11,10
0GBB3ZX,11,10
0GBB4ZX,11,10
0GBC0ZX,11,10
0GBC3ZX,11,10
0GBC4ZX,11,10
0GBD0ZX,11,10
0GBD3ZX,11,10
0GBD4ZX,11,10
0GBF0ZX,11,10
0GBF3ZX,11,10
0GBF4ZX,11,10
0GBG0ZX,11,10
0GBG3ZX,11,10
0GBG4ZX,11,10
0GBH0ZX,11,10
0GBH3ZX,11,10
0GBH4ZX,11,10
0GBJ0ZX,11,10
0GBJ3ZX,11,10
0GBJ4ZX,11,10
0GBL0ZX,11,10
0GBL3ZX,11,10
0GBL4ZX,11,10
0GBM0ZX,11,10
0GBM3ZX,11,10
0GBM4ZX,11,10
0GBN0ZX,11,10
0GBN3ZX,11,10
0GBN4ZX,11,10
0GBP0ZX,11,10
0GBP3ZX,11,10
0GBP4ZX,11,10
0GBQ0ZX,11,10
0GBQ3ZX,11,10
0GBQ4ZX,11,10
0GBR0ZX,11,10
0GBR3ZX,11,10
0GBR4ZX,11,10
0GHS02Z,11,10
0GHS32Z,11,10
0GHS42Z,11,10
0GJ00ZZ,11,10
0GJ03ZZ,11,10
0GJ04ZZ,11,10
0GJ10ZZ,11,10
0GJ13ZZ,11,10
0GJ14ZZ,11,10
0GJ50ZZ,11,10
0GJ53ZZ,11,10
0GJ54ZZ,11,10
0GJK0ZZ,11,10
0GJK3ZZ,11,10
0GJK4ZZ,11,10
0GJR0ZZ,11,10
0GJR3ZZ,11,10
0GJR4ZZ,11,10
0GJS0ZZ,11,10
0GJS3ZZ,11,10
0GJS4ZZ,11,10
0T900ZX,110,10
0T903ZX,110,10
0T904ZX,110,10
0T907ZX,110,10
0T910ZX,110,10
0T913ZX,110,10
0T917ZX,110,10
0T930ZX,110,10
0T933ZX,110,10
0T934ZX,110,10
0T937ZX,110,10
0T938ZX,110,10
0T940ZX,110,10
0T943ZX,110,10
0T944ZX,110,10
0T947ZX,110,10
0T948ZX,110,10
0T960ZX,110,10
0T963ZX,110,10
0T967ZX,110,10
0T970ZX,110,10
0T973ZX,110,10
0T977ZX,110,10
0T980ZX,110,10
0T983ZX,110,10
0T987ZX,110,10
0T9B0ZX,110,10
0T9B3ZX,110,10
0T9B7ZX,110,10
0T9C0ZX,110,10
0T9C3ZX,110,10
0T9C7ZX,110,10
0T9D0ZX,110,10
0T9D3ZX,110,10
0T9D7ZX,110,10
0T9DXZX,110,10
0TB00ZX,110,10
0TB03ZX,110,10
0TB07ZX,110,10
0TB10ZX,110,10
0TB13ZX,110,10
0TB17ZX,110,10
0TB30ZX,110,10
0TB33ZX,110,10
0TB37ZX,110,10
0TB40ZX,110,10
0TB43ZX,110,10
0TB47ZX,110,10
0TB60ZX,110,10
0TB63ZX,110,10
0TB67ZX,110,10
0TB70ZX,110,10
0TB73ZX,110,10
0TB77ZX,110,10
0TBB0ZX,110,10
0TBB3ZX,110,10
0TBB7ZX,110,10
0TBC0ZX,110,10
0TBC3ZX,110,10
0TBC7ZX,110,10
0TBD0ZX,110,10
0TBD3ZX,110,10
0TBDXZX,110,10
0TH502Z,110,10
0TH532Z,110,10
0TH542Z,110,10
0TH572Z,110,10
0TH582Z,110,10
0TH902Z,110,10
0TH932Z,110,10
0TH942Z,110,10
0TH972Z,110,10
0TH982Z,110,10
0THB02Z,110,10
0THB32Z,110,10
0THB42Z,110,10
0THB72Z,110,10
0THB82Z,110,10
0THD02Z,110,10
0THD32Z,110,10
0THD42Z,110,10
0THD72Z,110,10
0THD82Z,110,10
0THDX2Z,110,10
0TJ50ZZ,110,10
0TJ53ZZ,110,10
0TJ5XZZ,110,10
0TJ90ZZ,110,10
0TJ93ZZ,110,10
0TJ9XZZ,110,10
0TJB0ZZ,110,10
0TJB3ZZ,110,10
0TJBXZZ,110,10
0TJD0ZZ,110,10
0TJD3ZZ,110,10
0WJR0ZZ,110,10
0WJR3ZZ,110,10
0WJR4ZZ,110,10
0WJR7ZZ,110,10
0WJR8ZZ,110,10
3E0K3KZ,110,10
3E0K7KZ,110,10
3E0K8KZ,110,10
3E1K38X,110,10
3E1K78X,110,10
3E1K88X,110,10
0T25X0Z,111,10
0T25XYZ,111,10
0T29X0Z,111,10
0T29XYZ,111,10
0T2BX0Z,111,10
0T2BXYZ,111,10
0T2DX0Z,111,10
0T2DXYZ,111,10
0T767ZZ,111,10
0T777ZZ,111,10
0T7B7DZ,111,10
0T7B7ZZ,111,10
0T7C0DZ,111,10
0T7C0ZZ,111,10
0T7C3DZ,111,10
0T7C3ZZ,111,10
0T7C4DZ,111,10
0T7C4ZZ,111,10
0T7C7DZ,111,10
0T7C7ZZ,111,10
0T7C8DZ,111,10
0T7C8ZZ,111,10
0T9030Z,111,10
0T903ZZ,111,10
0T904ZZ,111,10
0T9130Z,111,10
0T913ZZ,111,10
